,AUC,accuracy,recall,Specificity,precision,gmeans,RS
0,0.9917695473251028,0.9166666666666666,1.0,0.8888888888888888,0.75,0.9428090415820634,1.125
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.9876543209876543,0.9444444444444444,0.8888888888888888,0.9629629629629629,0.8888888888888888,0.9251848886516145,0.9230769230769231
3,0.9910714285714286,0.9722222222222222,1.0,0.9642857142857143,0.8888888888888888,0.9819805060619657,1.037037037037037
4,0.9927272727272727,0.9166666666666666,1.0,0.88,0.7857142857142857,0.938083151964686,1.1363636363636365
5,1.0,0.9722222222222222,0.9285714285714286,1.0,1.0,0.9636241116594315,0.9285714285714286
6,1.0,0.9722222222222222,1.0,0.9545454545454546,0.9333333333333333,0.9770084209183945,1.0476190476190477
7,1.0,0.9444444444444444,1.0,0.9259259259259259,0.8181818181818182,0.9622504486493763,1.08
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,0.9722222222222222,1.0,0.9583333333333334,0.9230769230769231,0.9789450103725609,1.0434782608695652
