,AUC,accuracy,recall,Specificity,precision,gmeans,RS
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,0.9722222222222222,1.0,0.9565217391304348,0.9285714285714286,0.9780192938436515,1.0454545454545454
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,0.9722222222222222,1.0,0.967741935483871,0.8333333333333334,0.9837387536759294,1.0333333333333332
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,0.9722222222222222,1.0,0.9642857142857143,0.8888888888888888,0.9819805060619657,1.037037037037037
8,0.9769230769230769,0.9166666666666666,0.8,0.9615384615384616,0.8888888888888888,0.8770580193070292,0.8320000000000001
9,1.0,0.9444444444444444,1.0,0.9285714285714286,0.8,0.9636241116594315,1.0769230769230769
