,AUC,accuracy,recall,Specificity,precision,gmeans,RS
0,0.9866220735785953,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9963636363636363,0.9722222222222222,1.0,0.96,0.9166666666666666,0.9797958971132712,1.0416666666666667
2,0.9963636363636363,0.9166666666666666,1.0,0.88,0.7857142857142857,0.938083151964686,1.1363636363636365
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,0.9722222222222222,1.0,0.96,0.9166666666666666,0.9797958971132712,1.0416666666666667
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0,0.9722222222222222,1.0,0.9666666666666667,0.8571428571428571,0.983192080250175,1.0344827586206897
7,1.0,0.9722222222222222,1.0,0.9642857142857143,0.8888888888888888,0.9819805060619657,1.037037037037037
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,0.9722222222222222,0.9,1.0,1.0,0.9486832980505138,0.9
