,AUC,accuracy,recall,Specificity,precision,gmeans,RS
0,0.9923076923076923,0.9166666666666666,0.9,0.9230769230769231,0.8181818181818182,0.9114654303753,0.975
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.9963636363636363,0.9444444444444444,0.9090909090909091,0.96,0.9090909090909091,0.9341987329938275,0.946969696969697
4,0.9910714285714286,0.9444444444444444,0.875,0.9642857142857143,0.875,0.9185586535436918,0.9074074074074074
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.9821428571428572,0.9166666666666666,0.75,0.9642857142857143,0.8571428571428571,0.8504200642707612,0.7777777777777778
7,1.0,0.9722222222222222,1.0,0.96,0.9166666666666666,0.9797958971132712,1.0416666666666667
8,0.9930555555555555,0.9722222222222222,1.0,0.9583333333333334,0.9230769230769231,0.9789450103725609,1.0434782608695652
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
