,AUC,accuracy,recall,Specificity,precision,gmeans,RS
0,0.33333333333333337,0.6,0.6666666666666666,0.0,0.8571428571428571,0.0,inf
1,0.7777777777777778,0.2,0.1111111111111111,1.0,1.0,0.3333333333333333,0.1111111111111111
2,0.6666666666666667,0.9,1.0,0.0,0.9,0.0,inf
3,0.0,0.7,0.7777777777777778,0.0,0.875,0.0,inf
4,0.5555555555555556,0.1,0.0,1.0,,0.0,0.0
5,0.5555555555555556,0.6,0.5555555555555556,1.0,1.0,0.7453559924999299,0.5555555555555556
6,0.4444444444444444,0.7,0.7777777777777778,0.0,0.875,0.0,inf
7,0.33333333333333337,0.8,0.8888888888888888,0.0,0.8888888888888888,0.0,inf
8,0.11111111111111116,0.5,0.5555555555555556,0.0,0.8333333333333334,0.0,inf
9,1.0,0.2,0.1111111111111111,1.0,1.0,0.3333333333333333,0.1111111111111111
