,AUC,accuracy,recall,Specificity,precision,gmeans,RS
0,0.4444444444444444,0.8,0.8888888888888888,0.0,0.8888888888888888,0.0,inf
1,0.6666666666666667,0.7,0.7777777777777778,0.0,0.875,0.0,inf
2,0.11111111111111116,0.7,0.7777777777777778,0.0,0.875,0.0,inf
3,0.888888888888889,0.8,0.8888888888888888,0.0,0.8888888888888888,0.0,inf
4,0.8888888888888888,0.9,1.0,0.0,0.9,0.0,inf
5,0.2222222222222222,0.2,0.1111111111111111,1.0,1.0,0.3333333333333333,0.1111111111111111
6,0.8888888888888888,0.1,0.0,1.0,,0.0,0.0
7,0.0,0.8,0.8888888888888888,0.0,0.8888888888888888,0.0,inf
8,0.11111111111111116,0.7,0.7777777777777778,0.0,0.875,0.0,inf
9,0.8888888888888888,0.5,0.4444444444444444,1.0,1.0,0.6666666666666666,0.4444444444444444
